experiment;rewritten real time;rewritten user time;rewritten sys time;rewritten meval time;native real time;native user time;native sys time;native trigger time;native meval time
18;12.684;12.175;0.492;10.6083;4.422;4.087;0.317;0.780111;2.52745
18;12.739;12.164;0.500;10.6014;4.446;4.113;0.311;0.781542;2.53856
19;17.322;14.394;2.396;12.2766;6.824;4.703;2.076;0.985723;2.87432
19;16.837;14.388;2.417;12.2598;6.821;4.691;2.106;0.986046;2.88023
19;16.606;14.208;2.333;12.1211;6.919;4.733;2.150;0.986182;2.90591
19;16.991;14.464;2.441;12.3478;6.936;4.743;2.133;0.986472;2.90321
19;16.615;14.231;2.343;12.1289;6.738;4.670;2.042;0.972079;2.85735
19;16.783;14.415;2.335;12.3081;6.872;4.679;2.118;0.977971;2.86321
19;17.005;14.348;2.378;12.2276;6.923;4.708;2.139;0.966427;2.85621
19;16.720;14.289;2.380;12.1991;6.900;4.723;2.122;0.974065;2.8839
19;16.782;14.325;2.376;12.2424;6.739;4.653;2.048;0.991058;2.84758
19;16.965;14.445;2.429;12.3172;6.843;4.736;2.067;0.987256;2.92605
20;17.476;15.102;2.338;12.3172;7.715;5.434;2.207;0.958315;2.90359
20;18.216;15.305;2.416;12.4632;7.705;5.423;2.161;0.96888;2.8984
20;17.655;15.222;2.382;12.4128;7.536;5.373;2.120;0.950277;2.87035
20;17.953;15.353;2.418;12.4967;7.541;5.392;2.098;0.964175;2.88472
20;17.972;15.468;2.413;12.6722;7.617;5.438;2.138;0.980455;2.90362
20;17.964;15.452;2.426;12.6089;7.699;5.469;2.128;0.964399;2.92402
20;17.829;15.362;2.379;12.5275;7.614;5.440;2.132;0.954802;2.90141
20;17.937;15.478;2.413;12.6437;7.603;5.445;2.120;0.962977;2.90079
20;17.827;15.398;2.375;12.5858;7.673;5.449;2.156;0.944853;2.9517
20;17.815;15.356;2.404;12.4975;7.770;5.516;2.167;0.968804;3.00044
21;12.941;12.230;0.509;10.6683;4.459;4.092;0.327;0.780671;2.53412
21;12.746;12.210;0.491;10.6597;4.402;4.066;0.313;0.781355;2.49808
21;12.530;12.044;0.465;10.5152;4.400;4.066;0.318;0.787623;2.50994
21;12.781;12.216;0.516;10.6703;4.374;4.038;0.319;0.777148;2.48087
21;12.681;12.178;0.480;10.6376;4.388;4.038;0.328;0.788663;2.47279
21;12.369;11.847;0.469;10.3137;4.385;4.049;0.315;0.780393;2.49093
21;12.521;12.026;0.475;10.4719;4.459;4.059;0.326;0.784477;2.4931
21;12.469;11.964;0.478;10.4001;4.367;4.027;0.321;0.77158;2.4792
21;12.449;11.907;0.477;10.3611;4.421;4.089;0.317;0.777589;2.53918
21;12.305;11.797;0.488;10.2565;4.348;4.012;0.314;0.776036;2.44395
