experiment;rewritten real time;rewritten user time;rewritten sys time;rewritten meval time;native real time;native user time;native sys time;native trigger time;native meval time
13;17.611;15.232;2.338;13.0438;7.347;5.120;2.142;1.0262;3.20258
13;17.771;15.365;2.365;13.1856;8.018;5.217;2.191;1.05133;3.25932
13;17.829;15.355;2.383;13.1486;7.185;4.975;2.157;1.02788;3.07531
13;18.049;15.426;2.485;13.1859;7.246;5.028;2.180;1.03326;3.10759
13;18.170;15.605;2.435;13.382;7.313;5.056;2.171;1.01993;3.16306
13;17.715;15.255;2.401;13.047;7.074;4.941;2.094;1.01948;3.05353
13;17.508;15.143;2.318;12.987;7.085;4.916;2.108;1.00992;3.03691
13;17.733;15.308;2.375;13.0977;7.238;4.967;2.178;1.02219;3.05327
13;17.773;15.373;2.355;13.2064;7.140;4.947;2.160;1.01646;3.05556
13;18.474;15.680;2.420;13.4859;7.207;4.979;2.159;1.02182;3.0814
14;20.109;17.576;2.457;14.4458;8.215;6.040;2.132;1.05517;3.27334
14;20.113;17.557;2.472;14.4342;8.332;6.121;2.169;1.06387;3.32259
14;20.088;17.566;2.429;14.4426;8.287;6.100;2.154;1.04861;3.28761
14;20.022;17.477;2.454;14.3872;8.205;6.041;2.125;1.05;3.25944
14;20.365;17.812;2.438;14.6672;9.234;6.861;2.338;1.14474;3.7571
14;21.988;19.283;2.628;15.9113;9.216;6.826;2.337;1.11029;3.7567
14;20.380;17.745;2.512;14.59;8.233;6.039;2.150;1.04898;3.27877
14;20.916;17.795;2.507;14.6496;8.307;6.093;2.144;1.06374;3.32587
14;19.863;17.354;2.430;14.2578;8.371;6.100;2.222;1.05918;3.30839
14;20.109;17.555;2.458;14.4471;8.401;6.185;2.168;1.08009;3.4029
15;18.895;18.257;0.585;15.9955;6.590;6.196;0.371;1.03918;3.82648
15;19.255;18.610;0.573;16.3841;6.676;6.283;0.376;1.03459;3.89143
15;19.167;18.283;0.593;16.0285;6.749;6.350;0.368;1.03144;3.9865
15;18.892;18.252;0.614;15.9858;6.665;6.218;0.377;1.04139;3.84057
15;19.115;18.507;0.584;16.2479;6.579;6.190;0.363;1.02655;3.81858
15;19.192;18.579;0.591;16.3458;6.580;6.181;0.379;1.02904;3.81397
15;19.029;18.305;0.602;16.0256;6.646;6.243;0.373;1.03883;3.86566
15;18.961;18.312;0.593;16.0536;6.605;6.209;0.374;1.04067;3.83785
15;18.900;18.218;0.623;15.9601;6.608;6.220;0.365;1.02314;3.8539
15;18.976;18.310;0.591;16.0452;6.704;6.314;0.372;1.03852;3.91029
16;19.059;16.659;2.354;14.3057;7.634;5.468;2.094;1.12005;3.41624
16;19.457;16.556;2.377;14.1826;7.810;5.597;2.108;1.12985;3.5419
16;18.994;16.556;2.397;14.2111;8.165;5.862;2.194;1.18029;3.74826
16;19.544;17.126;2.371;14.7406;8.020;5.770;2.155;1.14868;3.59193
16;19.204;16.766;2.394;14.3647;7.766;5.565;2.158;1.13852;3.49061
16;19.636;16.800;2.381;14.4156;7.858;5.646;2.170;1.15532;3.54662
16;19.501;17.039;2.366;14.6912;7.679;5.538;2.104;1.15483;3.48102
16;19.578;17.072;2.419;14.6858;7.665;5.562;2.061;1.12972;3.52441
16;19.595;16.803;2.487;14.4087;7.709;5.543;2.123;1.15474;3.48176
16;19.226;16.720;2.425;14.3622;7.661;5.524;2.094;1.14917;3.46756
17;17.846;15.303;2.461;12.4866;7.642;5.464;2.141;0.948669;2.94186
17;17.847;15.348;2.402;12.5046;7.509;5.382;2.085;0.949284;2.87183
17;17.689;15.254;2.382;12.4345;7.639;5.424;2.135;0.964025;2.88025
17;18.894;15.841;2.482;12.8896;7.752;5.425;2.206;0.952021;2.8977
17;17.583;15.191;2.351;12.3905;7.580;5.424;2.104;0.960293;2.90243
17;17.639;15.231;2.378;12.3908;9.157;5.654;2.235;0.964823;3.05188
17;17.724;15.250;2.391;12.407;7.396;5.330;2.034;0.938015;2.84629
17;17.823;15.258;2.396;12.4165;7.583;5.388;2.139;0.944696;2.91878
17;17.745;15.294;2.336;12.4673;7.492;5.338;2.068;0.956213;2.86886
17;17.951;15.483;2.383;12.6682;7.613;5.442;2.130;0.946635;2.91548
18;12.723;12.204;0.499;10.6515;4.511;4.181;0.311;0.784188;2.61108
18;12.935;12.389;0.491;10.8329;4.448;4.117;0.315;0.778723;2.53699
18;12.631;12.122;0.491;10.5637;4.516;4.135;0.319;0.793198;2.55294
18;12.688;12.163;0.505;10.584;4.526;4.193;0.317;0.78836;2.57635
18;13.136;12.297;0.517;10.7312;4.506;4.135;0.317;0.77631;2.57108
18;13.142;12.503;0.487;10.9338;4.432;4.102;0.315;0.775714;2.53223
18;12.513;11.971;0.485;10.433;4.428;4.095;0.311;0.789235;2.50297
18;12.629;12.089;0.528;10.504;4.494;4.114;0.316;0.793137;2.54173
