experiment;rewritten real time;rewritten user time;rewritten sys time;native real time;native user time;native sys time
1;12.844;12.057;0.763;6.980;6.277;0.691
1;12.508;11.792;0.706;7.016;6.319;0.687
1;12.643;11.885;0.741;7.093;6.377;0.697
1;12.492;11.775;0.711;7.049;6.342;0.699
1;12.972;12.154;0.787;7.643;6.836;0.750
1;12.456;11.729;0.715;6.985;6.305;0.667
1;12.489;11.783;0.689;6.934;6.248;0.672
1;12.425;11.717;0.698;6.867;6.200;0.654
1;12.379;11.674;0.692;6.988;6.305;0.670
1;12.361;11.657;0.687;6.875;6.209;0.652
2;15.538;15.486;0.036;4.328;4.293;0.019
2;15.595;15.548;0.033;4.258;4.230;0.018
2;15.190;15.151;0.029;4.290;4.262;0.017
2;15.498;15.457;0.030;4.245;4.217;0.017
2;15.248;15.209;0.029;4.304;4.276;0.017
2;15.268;15.227;0.031;4.249;4.224;0.015
2;15.463;15.422;0.028;4.252;4.225;0.016
2;15.155;15.117;0.027;4.310;4.284;0.016
2;15.268;15.227;0.033;4.262;4.235;0.020
2;15.438;15.394;0.033;4.236;4.208;0.019
3;238.706;235.371;3.268;104.535;102.656;1.842
3;247.134;242.012;3.690;111.795;108.806;2.387
3;234.653;231.177;3.360;103.678;101.972;1.676
3;234.797;231.512;3.199;102.969;101.136;1.798
3;236.402;233.157;3.184;102.670;100.946;1.688
3;239.388;236.001;3.263;105.494;103.683;1.775
3;236.473;233.167;3.238;104.712;102.915;1.758
3;236.590;233.316;3.197;104.325;102.507;1.784
3;238.662;235.333;3.264;108.032;106.013;1.961
3;239.616;235.987;3.558;104.177;102.344;1.802
4;9.589;8.590;0.988;5.024;4.087;0.925
4;9.484;8.505;0.967;4.999;4.076;0.909
4;9.457;8.502;0.944;5.050;4.127;0.911
4;9.495;8.537;0.942;5.018;4.069;0.936
4;9.282;8.349;0.922;4.925;4.015;0.899
4;9.423;8.445;0.968;4.876;3.982;0.880
4;9.369;8.422;0.940;4.874;3.975;0.888
4;9.335;8.388;0.937;4.894;3.996;0.884
4;9.280;8.344;0.930;4.872;3.980;0.883
4;9.346;8.411;0.926;4.908;4.002;0.892
5;174.452;171.907;2.518;92.432;90.348;2.064
5;173.203;170.868;2.318;92.001;90.037;1.947
5;170.189;167.828;2.346;91.589;89.515;2.054
5;172.665;170.318;2.329;91.629;89.633;1.983
5;172.708;170.317;2.370;91.190;89.173;1.992
5;173.733;171.337;2.381;91.262;89.285;1.959
5;170.836;168.430;2.389;91.400;89.366;2.013
5;171.462;169.157;2.293;91.631;89.596;2.014
5;171.088;168.693;2.378;91.746;89.737;1.990
5;175.776;173.405;2.358;91.344;89.305;2.019
6;3.186;2.963;0.214;2.368;2.118;0.234
6;3.235;3.004;0.225;2.377;2.129;0.235
6;3.239;3.012;0.222;2.368;2.126;0.231
6;3.213;2.983;0.225;2.386;2.140;0.234
6;3.206;2.980;0.221;2.356;2.117;0.227
6;3.196;2.974;0.218;2.365;2.120;0.232
6;3.211;2.986;0.216;2.376;2.133;0.230
6;3.263;3.039;0.215;2.378;2.133;0.233
6;3.245;3.019;0.220;2.454;2.200;0.240
6;3.250;3.017;0.226;2.387;2.137;0.239
7;28.401;27.276;1.116;19.335;18.047;1.273
7;28.534;27.378;1.150;19.363;18.076;1.275
7;28.978;27.865;1.103;19.349;18.051;1.288
7;28.658;27.492;1.158;19.417;18.099;1.302
7;28.634;27.509;1.114;19.488;18.193;1.276
7;28.707;27.583;1.114;19.215;17.949;1.253
7;28.738;27.634;1.093;19.294;18.009;1.277
7;28.389;27.283;1.099;19.295;18.009;1.274
7;28.441;27.328;1.106;19.441;18.146;1.279
7;28.586;27.498;1.080;19.319;18.045;1.264
8;108.436;105.950;2.465;38.684;36.984;1.681
8;109.457;107.043;2.398;38.712;37.021;1.682
8;108.312;105.744;2.550;38.674;36.971;1.690
8;109.305;106.800;2.488;38.945;37.255;1.674
8;109.541;107.172;2.349;38.491;36.799;1.678
8;108.673;106.232;2.424;38.875;37.122;1.740
8;108.281;105.825;2.437;38.945;37.234;1.700
8;110.419;107.881;2.522;39.113;37.365;1.735
8;109.599;107.180;2.397;38.655;36.958;1.683
8;108.473;106.086;2.376;38.734;36.999;1.720
9;172.452;169.569;2.860;96.081;93.565;2.493
9;172.363;169.508;2.839;95.484;92.896;2.576
9;172.677;169.857;2.805;100.324;97.460;2.845
9;172.834;170.084;2.733;96.089;93.509;2.559
9;172.428;169.476;2.934;95.912;93.413;2.477
9;172.553;169.638;2.897;95.414;92.918;2.470
9;172.154;169.324;2.808;96.639;93.952;2.673
9;176.557;173.639;2.901;97.307;94.615;2.680
9;173.444;170.600;2.823;96.012;93.466;2.520
9;173.452;170.579;2.852;97.980;95.322;2.644
10;100.048;97.650;2.383;37.049;35.383;1.645
10;100.589;98.152;2.416;36.729;35.073;1.637
10;100.344;97.980;2.355;36.570;34.880;1.671
10;99.164;96.692;2.451;36.501;34.831;1.658
10;100.038;97.710;2.314;36.424;34.751;1.654
10;99.770;97.462;2.289;37.009;35.337;1.655
10;98.901;96.600;2.283;37.310;35.562;1.736
10;99.480;97.019;2.442;36.415;34.756;1.643
10;99.262;96.870;2.384;36.458;34.796;1.651
10;100.289;97.990;2.283;36.898;35.243;1.643
