experiment;rewritten real time;rewritten user time;rewritten sys time;native real time;native user time;native sys time
11;79.464;77.616;1.804;48.709;46.794;1.879
11;79.805;77.876;1.867;48.175;46.267;1.889
11;81.672;79.652;1.986;49.559;47.603;1.924
11;79.510;77.623;1.851;50.992;48.785;2.186
11;80.012;78.153;1.831;48.531;46.623;1.881
11;79.091;77.161;1.901;48.255;46.372;1.864
11;79.209;77.371;1.799;48.623;46.724;1.868
11;79.041;77.200;1.812;47.843;45.976;1.849
11;79.141;77.302;1.811;47.834;45.980;1.827
11;79.481;77.564;1.861;48.021;46.145;1.855
12;97.226;95.393;1.797;49.386;47.836;1.530
12;98.560;96.537;1.994;52.931;51.137;1.765
12;97.703;95.783;1.885;49.523;47.911;1.584
12;97.306;95.405;1.840;49.222;47.642;1.553
12;96.920;95.099;1.792;49.486;47.930;1.531
12;96.195;94.379;1.786;49.722;48.133;1.570
12;96.708;94.875;1.800;49.025;47.482;1.523
12;96.332;94.525;1.777;49.203;47.688;1.488
12;96.721;94.882;1.805;49.327;47.770;1.533
12;96.080;94.256;1.787;49.390;47.807;1.563
13;55.762;53.552;2.193;36.713;34.793;1.900
13;52.274;50.471;1.785;36.439;34.545;1.875
13;52.145;50.310;1.810;36.494;34.617;1.859
13;52.798;50.932;1.849;36.459;34.553;1.881
13;52.042;50.233;1.791;36.229;34.324;1.889
13;52.291;50.442;1.829;36.404;34.468;1.918
13;52.162;50.276;1.865;36.471;34.512;1.940
13;52.365;50.542;1.807;36.314;34.434;1.859
13;52.816;50.920;1.874;35.875;34.020;1.841
13;51.559;49.828;1.714;36.400;34.494;1.895
14;43.567;42.658;0.893;21.478;20.712;0.746
14;43.220;42.344;0.858;21.292;20.576;0.702
14;43.315;42.398;0.907;21.122;20.396;0.710
14;43.516;42.652;0.852;21.382;20.641;0.722
14;43.439;42.531;0.895;21.178;20.451;0.715
14;43.171;42.293;0.865;21.283;20.541;0.733
14;43.045;42.151;0.880;21.229;20.495;0.719
14;43.315;42.377;0.928;21.224;20.471;0.748
14;43.449;42.558;0.874;21.327;20.596;0.716
14;43.276;42.411;0.851;21.143;20.413;0.716
15;15.992;15.367;0.612;6.400;6.368;0.018
15;16.143;15.515;0.620;6.475;6.449;0.016
15;15.953;15.354;0.592;6.392;6.364;0.018
15;15.990;15.381;0.604;6.531;6.505;0.016
15;16.116;15.506;0.604;6.404;6.378;0.017
15;16.229;15.603;0.619;6.452;6.423;0.020
15;16.003;15.402;0.594;6.399;6.372;0.017
15;16.186;15.582;0.596;6.397;6.370;0.018
15;15.946;15.340;0.599;6.418;6.394;0.014
15;15.923;15.322;0.596;6.416;6.391;0.014
16;11.836;11.312;0.503;5.301;4.806;0.480
16;11.722;11.201;0.511;5.308;4.804;0.491
16;11.705;11.192;0.504;5.222;4.735;0.474
16;11.783;11.269;0.504;5.265;4.769;0.483
16;11.780;11.268;0.501;5.267;4.775;0.479
16;11.738;11.230;0.494;5.249;4.757;0.480
16;11.895;11.376;0.511;5.293;4.802;0.478
16;11.760;11.239;0.511;5.259;4.763;0.484
16;11.756;11.231;0.516;5.264;4.770;0.481
16;11.839;11.322;0.506;5.260;4.764;0.483
17;28.445;27.233;1.196;12.960;11.800;1.146
17;28.786;27.540;1.231;13.784;12.579;1.191
17;31.993;30.519;1.409;14.456;13.126;1.297
17;30.463;29.141;1.286;13.258;12.097;1.140
17;29.377;28.157;1.206;13.414;12.217;1.180
17;29.101;27.870;1.207;13.240;12.076;1.147
17;29.554;28.291;1.240;13.281;12.109;1.163
17;29.043;27.827;1.200;13.268;12.080;1.170
17;29.088;27.849;1.221;13.267;12.098;1.156
17;29.238;28.006;1.218;13.204;12.050;1.143
18;33.966;33.131;0.813;15.158;14.497;0.648
18;31.895;31.253;0.623;13.945;13.401;0.526
18;31.805;31.160;0.628;14.097;13.547;0.534
18;31.565;30.937;0.615;13.937;13.394;0.531
18;32.263;31.621;0.626;14.009;13.450;0.537
18;31.756;31.074;0.667;13.985;13.442;0.531
18;31.743;31.101;0.625;13.983;13.435;0.534
18;32.177;31.532;0.623;13.927;13.389;0.524
18;31.522;30.884;0.623;13.890;13.353;0.525
18;31.612;30.959;0.629;13.879;13.323;0.546
19;2.015;1.979;0.022;1.130;1.100;0.015
19;1.994;1.965;0.022;1.112;1.087;0.014
19;1.998;1.968;0.027;1.110;1.086;0.014
19;1.985;1.957;0.021;1.154;1.125;0.017
19;1.999;1.969;0.024;1.143;1.118;0.014
19;1.983;1.954;0.021;1.131;1.105;0.016
19;1.984;1.955;0.022;1.135;1.110;0.017
19;1.992;1.961;0.021;1.122;1.095;0.018
19;1.992;1.962;0.022;1.132;1.105;0.016
19;1.968;1.941;0.020;1.119;1.092;0.016
20;7.372;6.896;0.459;3.670;3.219;0.435
20;7.340;6.873;0.462;3.663;3.213;0.440
20;7.366;6.897;0.460;3.749;3.270;0.466
20;7.290;6.823;0.459;3.671;3.217;0.440
20;7.432;6.951;0.471;3.703;3.242;0.450
20;7.345;6.874;0.458;3.672;3.217;0.445
20;7.401;6.930;0.463;3.689;3.234;0.446
20;7.373;6.891;0.473;3.671;3.217;0.443
20;7.413;6.934;0.468;3.666;3.216;0.439
20;7.345;6.866;0.472;3.706;3.245;0.447
