experiment;rewritten real time;rewritten user time;rewritten sys time;rewritten meval time;native real time;native user time;native sys time;native trigger time;native meval time
22;68.751;68.420;0.271;67.6171;0.773;0.553;0.211;0.112449;0.344456
22;68.752;68.448;0.270;67.6457;0.762;0.544;0.209;0.105448;0.338247
22;69.296;68.990;0.279;68.193;0.774;0.552;0.216;0.107667;0.343002
22;69.904;69.593;0.266;68.8123;0.778;0.549;0.219;0.105832;0.341771
22;68.951;68.651;0.266;67.8533;0.789;0.562;0.217;0.115234;0.352919
22;67.366;67.092;0.245;66.3118;0.758;0.543;0.206;0.108568;0.338248
22;66.467;66.229;0.226;65.4538;0.767;0.550;0.207;0.109444;0.346917
22;64.980;64.738;0.214;63.9516;0.765;0.542;0.213;0.104044;0.335398
22;65.573;65.340;0.217;64.5277;0.853;0.609;0.233;0.120767;0.382437
22;67.350;67.108;0.212;66.2794;0.761;0.546;0.206;0.103963;0.342078
23;65.459;65.220;0.218;64.3775;0.744;0.528;0.209;0.089984;0.27673
23;63.616;63.384;0.212;62.5315;0.818;0.556;0.216;0.097077;0.295398
23;63.594;63.350;0.215;62.4929;0.741;0.526;0.205;0.090198;0.276684
23;64.142;63.907;0.215;63.0644;0.738;0.527;0.204;0.089238;0.277944
23;63.550;63.303;0.217;62.4466;0.764;0.541;0.214;0.091244;0.282399
23;66.301;66.057;0.223;65.149;0.800;0.573;0.217;0.100338;0.302258
23;64.736;64.504;0.217;63.6414;0.747;0.531;0.206;0.090512;0.27854
23;63.642;63.399;0.223;62.5431;0.753;0.534;0.210;0.090145;0.279082
23;65.802;65.563;0.209;64.7211;0.748;0.531;0.208;0.089474;0.278737
23;64.438;64.206;0.220;63.3621;0.750;0.532;0.208;0.090666;0.278709
24;84.243;83.674;0.541;80.4518;4.911;4.574;0.327;0.81061;2.82479
24;84.032;83.468;0.533;80.2505;4.829;4.491;0.322;0.794387;2.74732
24;82.260;81.690;0.535;78.4631;4.835;4.487;0.331;0.807898;2.75203
24;84.230;83.671;0.528;80.4329;4.925;4.555;0.328;0.806398;2.81989
24;81.278;80.739;0.519;77.5072;4.935;4.542;0.333;0.801963;2.78385
24;83.270;82.692;0.551;79.4854;4.886;4.502;0.343;0.795435;2.75386
24;84.084;83.530;0.539;80.3071;4.866;4.487;0.322;0.805275;2.75348
24;84.105;83.555;0.531;80.3347;4.836;4.461;0.325;0.798436;2.71136
24;82.923;82.383;0.526;79.1715;4.822;4.486;0.320;0.807919;2.73461
24;83.210;82.661;0.539;79.4486;4.761;4.422;0.328;0.803105;2.69182
25;64.376;64.134;0.216;63.4532;0.665;0.452;0.204;0.086508;0.270841
25;64.107;63.866;0.216;63.1793;0.675;0.462;0.207;0.091362;0.277576
25;63.616;63.391;0.217;62.7062;0.669;0.454;0.205;0.090593;0.272217
25;64.210;63.984;0.207;63.3036;0.673;0.460;0.204;0.091315;0.276947
25;64.710;64.484;0.215;63.8057;0.666;0.449;0.204;0.086194;0.267349
25;63.692;63.466;0.213;62.7878;0.757;0.520;0.217;0.104532;0.320596
25;65.114;64.868;0.217;64.1642;0.677;0.463;0.208;0.086785;0.275867
25;63.850;63.609;0.218;62.9275;0.669;0.455;0.204;0.087343;0.271939
25;64.595;64.355;0.220;63.67;0.662;0.451;0.201;0.086676;0.26989
