experiment;rewritten real time;rewritten user time;rewritten sys time;rewritten meval time;native real time;native user time;native sys time;native trigger time;native meval time
25;63.742;63.502;0.213;62.825;0.670;0.456;0.205;0.088696;0.274447
26;63.864;63.614;0.221;62.6631;0.813;0.594;0.209;0.096745;0.319777
26;64.337;64.102;0.222;63.1591;0.812;0.594;0.208;0.098923;0.315356
26;63.665;63.425;0.216;62.4723;0.813;0.594;0.209;0.096625;0.313453
26;64.250;64.007;0.220;63.0736;0.811;0.592;0.211;0.096515;0.313501
26;64.168;63.937;0.215;62.9948;0.818;0.598;0.211;0.09654;0.316837
26;64.633;64.400;0.219;63.4622;0.810;0.593;0.208;0.096372;0.315422
26;64.097;63.861;0.221;62.9135;0.821;0.599;0.212;0.098051;0.316687
26;64.372;64.137;0.222;63.1956;0.829;0.606;0.215;0.096328;0.32167
26;70.285;69.916;0.301;69.0547;0.837;0.614;0.214;0.099555;0.325125
26;68.239;67.936;0.274;66.9835;0.839;0.608;0.223;0.097606;0.325428
27;94.175;93.369;0.764;89.3263;7.247;6.845;0.386;1.04177;4.26465
27;92.421;91.596;0.771;87.5889;7.258;6.850;0.389;1.04272;4.26166
27;94.493;93.664;0.773;89.5947;7.177;6.766;0.392;1.04958;4.18741
27;93.870;93.050;0.781;88.9535;8.004;7.536;0.414;1.11268;4.71621
27;97.267;96.440;0.778;92.2728;7.217;6.807;0.395;1.03191;4.236
27;93.823;93.019;0.762;89.0166;7.238;6.835;0.382;1.04062;4.24878
27;93.930;93.119;0.758;89.0651;7.255;6.844;0.381;1.03719;4.25324
27;93.549;92.711;0.784;88.664;7.161;6.750;0.388;1.03672;4.15741
27;94.085;93.263;0.779;89.2518;7.281;6.835;0.398;1.06408;4.18751
27;91.730;90.932;0.759;86.8677;7.135;6.722;0.383;1.05019;4.13292
28;67.630;67.318;0.261;66.7354;0.688;0.468;0.210;0.092943;0.284792
28;67.745;67.400;0.275;66.8165;0.693;0.470;0.212;0.095107;0.289484
28;68.142;67.838;0.263;67.2577;0.685;0.466;0.209;0.097121;0.284747
28;67.828;67.535;0.261;66.9609;0.682;0.463;0.209;0.089159;0.280211
28;68.201;67.900;0.266;67.3082;0.675;0.459;0.207;0.088856;0.277047
28;69.733;69.431;0.261;68.8576;0.688;0.469;0.211;0.093523;0.287807
28;67.209;66.908;0.266;66.3196;0.680;0.467;0.203;0.098377;0.286941
28;69.841;69.542;0.254;68.9746;0.682;0.465;0.207;0.093323;0.282239
28;69.198;68.891;0.269;68.3261;0.691;0.469;0.213;0.093467;0.283353
28;69.579;69.280;0.253;68.7124;0.698;0.479;0.214;0.10011;0.298205
29;67.775;67.474;0.271;66.5614;0.751;0.532;0.213;0.095022;0.283606
29;67.586;67.280;0.265;66.3584;0.762;0.542;0.214;0.093578;0.290515
29;67.693;67.396;0.263;66.4879;0.759;0.536;0.213;0.091023;0.285368
29;68.645;68.339;0.263;67.438;0.751;0.533;0.209;0.090317;0.282722
29;67.738;67.445;0.267;66.5314;0.795;0.538;0.215;0.094519;0.285971
29;68.126;67.829;0.255;66.9206;0.748;0.529;0.215;0.092254;0.2784
29;67.206;66.921;0.262;66.0025;0.758;0.536;0.212;0.090396;0.283935
29;67.477;67.189;0.259;66.2721;0.761;0.536;0.219;0.094662;0.283543
29;68.931;68.633;0.260;67.718;0.736;0.523;0.205;0.090279;0.275985
29;67.879;67.582;0.252;66.6798;0.756;0.536;0.212;0.091846;0.281752
30;86.255;85.608;0.613;82.4285;4.356;4.020;0.319;0.763041;2.46045
30;87.171;86.492;0.612;83.3203;4.331;3.994;0.323;0.75971;2.42608
30;85.166;84.534;0.603;81.3366;4.370;4.048;0.306;0.747781;2.46599
30;87.904;87.253;0.601;84.0713;4.345;4.019;0.311;0.770337;2.44966
30;88.800;88.122;0.634;84.9274;4.891;4.414;0.335;0.83735;2.70871
30;89.782;89.139;0.602;85.8458;4.505;4.168;0.322;0.762307;2.5717
30;87.540;86.885;0.615;83.6953;4.326;3.997;0.319;0.764697;2.43758
30;87.261;86.624;0.587;83.4284;4.393;4.026;0.320;0.77402;2.45357
30;88.051;87.394;0.610;84.2099;4.417;4.054;0.322;0.772452;2.47271
30;87.440;86.791;0.603;83.5981;4.621;4.181;0.324;0.763572;2.57502
